,OCC_CLS,PRIM_OCC,SEC_OCC,PROP_ADDR,SQFEET,CENSUSCODE,geometry
88,Residential,Manufactured Home,,2362 TOMAHAWK ROAD,1664.721,21159950202,POINT (5834873.017943364 3860466.0197643624)
89,Residential,Temporary Lodging,,118 RUSSELL WORKMAN ROAD,2109.731,21159950300,POINT (5899296.551927315 3824050.4586955756)
90,Residential,Single Family Dwelling,,827 WHITE OAK ROAD,2373.442,21159950300,POINT (5882356.767628576 3823432.397869353)
92,Residential,Manufactured Home,,1297 SAWMILL HOLLOW,1780.089,21159950201,POINT (5829718.200784331 3817871.331290102)
93,Residential,Manufactured Home,,3790 LITTLE ROCKCASTLE ROAD,4087.602,21159950201,POINT (5873646.712019592 3827834.5631875973)
95,Residential,Manufactured Home,,957 LONG BRANCH,791.1445,21159950300,POINT (5897611.802912783 3828691.3014717223)
96,Residential,Manufactured Home,,1449 EMILY CREEK,2966.809,21159950100,POINT (5886162.761312825 3828231.7470416776)
97,Residential,Single Family Dwelling,,758 EMILY CREEK,692.2555,21159950300,POINT (5883411.728362624 3828118.104804715)
98,Residential,Single Family Dwelling,,9814 MEATHOUSE ROAD,1780.106,21159950201,POINT (5858147.2538956385 3794625.1514988374)
99,Residential,Single Family Dwelling,,9814 MEATHOUSE ROAD,494.4627,21159950201,POINT (5858345.584964401 3794630.717658579)
0,Residential,Manufactured Home,,551 CRUM BRANCH,2208.624,21159950201,POINT (5845731.203420519 3838467.2040174464)
1,Unclassified,Unclassified,,3064 ROCKHOUSE ROAD,527.4342,21159950202,POINT (5829727.478900313 3841140.039706973)
2,Residential,Single Family Dwelling,,690 MOORE BRANCH,791.1422,21159950201,POINT (5854257.815957306 3841976.0690771346)
4,Residential,Single Family Dwelling,,80 COLLIER ROAD,1977.876,21159950202,POINT (5838119.817305298 3829881.679023288)
5,Residential,Single Family Dwelling,,695 FROG POND ROAD,1318.578,21159950100,POINT (5873503.240980409 3831105.433664949)
6,Residential,Unclassified,,156 VENTERS BRANCH,1582.294,21159950201,POINT (5841697.376669886 3833957.0184962656)
7,Residential,Manufactured Home,,2305 DAVELLA ROAD,593.3607,21159950202,POINT (5831397.785632552 3825554.8122462262)
8,Residential,Single Family Dwelling,,7170 RIVER FRONT ROAD,2637.145,21159950300,POINT (5903389.733359372 3828060.011615436)
9,Residential,Manufactured Home,,430 DAVELLA ROAD,4219.447,21159950202,POINT (5836931.913956934 3829806.2633029995)
10,Residential,Single Family Dwelling,,95 WHITE OAK ROAD,1582.294,21159950300,POINT (5884552.684224055 3826593.1882735672)
12,Unclassified,Unclassified,,25 PAUL HOWARD COURT,1186.722,21159950201,POINT (5844448.487470533 3841202.107464815)
13,Residential,Manufactured Home,,453 LACKEY BRANCH,3263.466,21159950100,POINT (5878393.963781484 3830671.4233772294)
14,Residential,Single Family Dwelling,,374 VENTERS BRANCH,1285.608,21159950201,POINT (5842637.43331674 3833590.275492588)
15,Residential,Unclassified,,4368 ROCKHOUSE ROAD,1285.618,21159950202,POINT (5830985.675390328 3835779.4589891527)
16,Unclassified,Unclassified,,168 LUTHER SMITH LANE,791.1435,21159950202,POINT (5835211.742573538 3829172.1573943747)
17,Unclassified,Unclassified,,749 CRUM BRANCH,857.0674,21159950201,POINT (5846447.515703944 3837736.429802189)
18,Unclassified,Unclassified,,137 EMILY CREEK,1318.586,21159950100,POINT (5883469.450521387 3830845.8276270726)
19,Residential,Unclassified,,7097 BEAUTY ROAD,3955.749,21159950100,POINT (5876651.049006032 3842282.8866824904)
20,Residential,Single Family Dwelling,,7737 RIVER FRONT ROAD,2142.684,21159950300,POINT (5906271.766647926 3827344.950616905)
21,Residential,Single Family Dwelling,,425 VENTERS BRANCH,1153.739,21159950201,POINT (5843061.59460718 3833595.4594953693)
22,Residential,Manufactured Home,,3091 RIVER FRONT ROAD,3296.443,21159950100,POINT (5889111.584911769 3835190.0900564147)
23,Residential,Manufactured Home,,4230 RIVER FRONT ROAD,1582.303,21159950100,POINT (5893087.554199914 3837926.9719551727)
24,Unclassified,Unclassified,,56 JIM HARMON CIRCLE,791.147,21159950300,POINT (5883934.207688242 3826544.7623750167)
26,Residential,Manufactured Home,,152 LITTLE ROCKCASTLE ROAD,922.9999,21159950201,POINT (5867802.295955708 3841975.647837333)
27,Residential,Single Family Dwelling,,2515 EMILY CREEK,5801.748,21159950300,POINT (5890648.049228153 3826705.2933803066)
28,Residential,Manufactured Home,,4338 ROCKHOUSE ROAD,1977.866,21159950202,POINT (5831140.81207596 3835749.1020845054)
29,Unclassified,Unclassified,,1335 BLACKBERRY ROAD,923.0038,21159950201,POINT (5840849.703449614 3833488.8751901016)
30,Unclassified,Unclassified,,832 TRACE FORK,906.535,21159950202,POINT (5824941.743387637 3840993.7084729685)
31,Residential,Single Family Dwelling,,15 EMILY CREEK,1648.224,21159950100,POINT (5883074.884135677 3831467.4583491855)
32,Residential,Single Family Dwelling,,695 FROG POND ROAD,692.2507,21159950100,POINT (5873485.162990229 3831136.5601566504)
33,Residential,Single Family Dwelling,,633 COLLINS BRANCH,2373.432,21159950201,POINT (5860779.341922529 3839011.379767331)
34,Residential,Unclassified,,7239 BEAUTY ROAD,1582.293,21159950100,POINT (5877057.199535619 3842768.2184790843)
35,Residential,Manufactured Home,,94 HARMON LANE,1483.391,21159950300,POINT (5887977.866434817 3827552.178629019)
36,Unclassified,Unclassified,,2221 BLACKBERRY ROAD,3032.729,21159950201,POINT (5839684.061359219 3829920.585874143)
37,Residential,Single Family Dwelling,,2639 COLDWATER ROAD,1582.313,21159950201,POINT (5859242.096074883 3838961.123993763)
38,Residential,Single Family Dwelling,,434 PHOEBE TRACE,395.5663,21159950100,POINT (5873592.284800639 3839470.2655908633)
39,Residential,Unclassified,,134 TUNNEL ROAD,1631.739,21159950100,POINT (5884979.505871931 3839848.051285524)
40,Residential,Single Family Dwelling,,460 DAVELLA ROAD,659.2851,21159950202,POINT (5836781.3296708735 3829851.7926255283)
41,Residential,Single Family Dwelling,,819 LITTLE PETER CAVE ROAD,527.4238,21159950100,POINT (5877521.645293043 3837819.468611326)
42,Residential,Manufactured Home,,3179 COLDWATER ROAD,2472.338,21159950201,POINT (5858585.076876588 3837132.9469251474)
43,Residential,Unclassified,,4686 NORTH WOLF CREEK,1318.58,21159950100,POINT (5885655.771324047 3838101.5578002655)
44,Commercial,Personal and Repair Services,,107 CHARLIE CLINE ROAD,1565.794,21159950202,POINT (5840150.663118637 3838259.623057366)
46,Residential,Manufactured Home,,3177 ROCKHOUSE ROAD,1977.858,21159950202,POINT (5830126.62317719 3841133.7018477344)
47,Unclassified,Unclassified,,387 COLLINS BRANCH,1120.794,21159950201,POINT (5859760.686262891 3838922.654365751)
48,Residential,Single Family Dwelling,,526 VENTERS BRANCH,1648.226,21159950201,POINT (5843340.621879513 3833624.9135715524)
49,Residential,Single Family Dwelling,,44 MIKE CHAPMAN LANE,1318.587,21159950201,POINT (5857974.714112461 3838172.4134454285)
50,Residential,Single Family Dwelling,,616 JACK CASSADY BRANCH,1582.293,21159950201,POINT (5859589.966692906 3834182.1399667477)
51,Residential,Single Family Dwelling,,439 VENTERS BRANCH,1186.732,21159950201,POINT (5843185.859752047 3833623.2568000806)
52,Residential,Single Family Dwelling,,191 LITTLE ROCKCASTLE ROAD,923.0032,21159950100,POINT (5868098.888125396 3842065.905384531)
53,Residential,Manufactured Home,,3958 ROCKHOUSE ROAD,1780.066,21159950202,POINT (5831164.599609797 3837227.193228053)
54,Unclassified,Unclassified,,58 NEWSOME ROAD,1054.86,21159950202,POINT (5840090.256208014 3836107.979913414)
55,Residential,Unclassified,,25 JIM HARMON CIRCLE,1780.089,21159950300,POINT (5883938.743376142 3826611.743546254)
56,Residential,Single Family Dwelling,,3249 NORTH WOLF CREEK,1846.01,21159950100,POINT (5881162.25402988 3834948.5976998485)
57,Residential,Manufactured Home,,311 MUDDY BRANCH,1054.866,21159950201,POINT (5857185.198591273 3838123.4030885743)
58,Residential,Single Family Dwelling,,77 MARSHALL MANOR,2142.688,21159950100,POINT (5888469.956531621 3842763.8106408054)
59,Residential,Manufactured Home,,142 LITTLE ROCKCASTLE ROAD,1780.093,21159950201,POINT (5867733.034659341 3842029.5275141504)
60,Residential,Single Family Dwelling,,68 LEES WAY,2109.71,21159950100,POINT (5887800.416035275 3842731.821898619)
61,Residential,Single Family Dwelling,,376 SANDLICK ROAD,527.4283,21159950202,POINT (5835382.935084023 3824914.3082996933)
62,Residential,Manufactured Home,,7662 RIVER FRONT ROAD,2801.986,21159950300,POINT (5905770.802887304 3827376.1891942127)
63,Residential,Manufactured Home,,4338 ROCKHOUSE ROAD,527.4349,21159950202,POINT (5831090.16923166 3835804.7097243583)
64,Residential,Manufactured Home,,311 MUDDY BRANCH,593.3629,21159950201,POINT (5857027.883591608 3838119.5998041327)
66,Residential,Single Family Dwelling,,139 PINE VIEW,5818.227,21159950201,POINT (5858129.26932017 3836664.026676265)
67,Residential,Unclassified,,83 EVERETT ROAD,1054.865,21159950100,POINT (5877439.7871158235 3842365.211879665)
68,Residential,Single Family Dwelling,,32 FERGESON STREET,2769.003,21159950100,POINT (5888246.564177886 3842733.191779942)
70,Residential,Unclassified,,749 CRUM BRANCH,4186.505,21159950201,POINT (5846353.788548041 3837684.8465858884)
71,Residential,Single Family Dwelling,,2170 NORTH WOLF CREEK,791.1486,21159950300,POINT (5881645.441654255 3830809.957434661)
72,Residential,Unclassified,,58 EVERETT ROAD,1977.865,21159950100,POINT (5877290.502092617 3842334.471247231)
73,Residential,Single Family Dwelling,,167 NORTH WOLF CREEK,2241.576,21159950100,POINT (5874632.3892078055 3826218.232035212)
74,Residential,Single Family Dwelling,,360 SANDLICK ROAD,1318.575,21159950202,POINT (5835447.664426127 3824861.8483890425)
76,Unclassified,Unclassified,,226 HOLTY ROAD,1318.587,21159950100,POINT (5884692.496659085 3830853.635665081)
77,Residential,Manufactured Home,,3973 ROCKHOUSE ROAD,1780.086,21159950202,POINT (5831421.10634316 3837202.1920581954)
78,Residential,Unclassified,,2174 COLDWATER ROAD,4384.275,21159950201,POINT (5857812.778935007 3841627.873767411)
79,Residential,Single Family Dwelling,,3249 NORTH WOLF CREEK,791.1531,21159950100,POINT (5881038.267923271 3834908.5200086306)
80,Residential,Unclassified,,787 CRUM BRANCH,1582.294,21159950201,POINT (5846477.494061467 3837687.020800121)
81,Residential,Manufactured Home,,4195 NORTH WOLF CREEK,1318.581,21159950100,POINT (5883397.339819963 3837554.431457507)
82,Residential,Single Family Dwelling,,3817 RIVER FRONT ROAD,7004.948,21159950100,POINT (5891543.387065088 3837813.8922685813)
83,Residential,Single Family Dwelling,,189 NORTH WOLF CREEK,2966.823,21159950100,POINT (5874741.516390876 3826173.3624993484)
84,Residential,Single Family Dwelling,,1962 NORTH WOLF CREEK,3345.889,21159950300,POINT (5880821.505884725 3830643.5381841976)
86,Residential,Unclassified,,819 TRACE FORK,2142.682,21159950202,POINT (5825144.433364909 3840961.0620505144)
87,Commercial,Personal and Repair Services,,1449 RIVER FRONT ROAD,6065.471,21159950100,POINT (5888055.774878892 3843117.9073498347)
88,Residential,Single Family Dwelling,,663 NORTH WOLF CREEK,3032.761,21159950100,POINT (5876509.667858648 3827105.9113117903)
89,Residential,Manufactured Home,,4360 NEW ROUTE 3,1087.826,21159950202,POINT (5839210.369726623 3829909.1755988537)
90,Residential,Unclassified,,4658 NORTH WOLF CREEK,1582.293,21159950100,POINT (5885542.656478175 3838093.4871295444)
92,Residential,Single Family Dwelling,,817 EMILY CREEK,1648.229,21159950100,POINT (5883464.303836029 3827370.838236876)
93,Unclassified,Unclassified,,1245 EMILY CREEK,1582.291,21159950100,POINT (5885005.142176798 3827418.5515152966)
94,Unclassified,Unclassified,,1021 VENTERS BRANCH,593.3582,21159950201,POINT (5845647.665508499 3834095.2469704384)
95,Residential,Single Family Dwelling,,32 FERGESON STREET,3444.782,21159950100,POINT (5888318.379377112 3842719.861731247)
96,Residential,Manufactured Home,,246 MUDDY BRANCH,2801.974,21159950201,POINT (5857535.2944929795 3838088.9712227792)
97,Residential,Single Family Dwelling,,191 LITTLE ROCKCASTLE ROAD,692.2578,21159950100,POINT (5868088.129352663 3842029.6761586107)
98,Residential,Single Family Dwelling,,2763 NORTH WOLF CREEK,1384.516,21159950100,POINT (5882110.719518745 3832586.1420955495)
99,Residential,Manufactured Home,,4613 ROCKHOUSE ROAD,1483.396,21159950202,POINT (5830689.157266048 3834101.943984467)
0,Unclassified,Unclassified,,106 MUDDY BRANCH,791.1525,21159950201,POINT (5857648.332384154 3838925.620492716)
1,Residential,Manufactured Home,,525 CRUM BRANCH,791.1399,21159950201,POINT (5845683.349182042 3838519.148364579)
2,Residential,Manufactured Home,,3128 DAVELLA ROAD,2109.737,21159950202,POINT (5827737.369991565 3823846.851392083)
3,Residential,Single Family Dwelling,,3729 RIVER FRONT ROAD,4417.22,21159950100,POINT (5891362.901510182 3837437.616552101)
4,Residential,Manufactured Home,,874 BLACKBERRY ROAD,1285.619,21159950201,POINT (5840571.483711066 3835697.1414856617)
5,Residential,Manufactured Home,,8896 MEATHOUSE ROAD,2686.606,21159950201,POINT (5861009.9922073055 3797595.8210237827)
6,Unclassified,Unclassified,,3701 NEW ROUTE 3,1087.833,21159950201,POINT (5839744.218898232 3832848.959287733)
8,Residential,Single Family Dwelling,,65 BABE DELONG ROAD,5142.46,21159950202,POINT (5838851.166125319 3832772.393901095)
10,Residential,Single Family Dwelling,,8 MEGAN LANE,659.2886,21159950201,POINT (5853405.656197844 3828892.9831628054)
11,Unclassified,Unclassified,,95 PLEASANT VALLEY,494.4608,21159950201,POINT (5857495.892548547 3836258.576583719)
12,Residential,Manufactured Home,,59 MUDLICK ROAD,2966.813,21159950202,POINT (5838644.720873961 3828364.6176517424)
13,Unclassified,Unclassified,,536 LONG BRANCH,1186.723,21159950300,POINT (5897084.681222317 3830423.549050137)
14,Residential,Manufactured Home,,2937 LITTLE ROCKCASTLE ROAD,445.0278,21159950100,POINT (5869559.529265376 3829445.1797959968)
15,Residential,Single Family Dwelling,,93 BABE DELONG ROAD,3626.101,21159950202,POINT (5838720.6357027115 3832765.397382824)
16,Residential,Manufactured Home,,8924 MEATHOUSE ROAD,1186.725,21159950201,POINT (5861053.582037898 3797469.9770975458)
17,Unclassified,Unclassified,,186 POPLAR THICKET ROAD,9889.336,21159950201,POINT (5866386.422454951 3821296.3940812224)
18,Residential,Manufactured Home,,116 COOK DRIVE,527.4309,21159950201,POINT (5843809.705681947 3832960.2798224455)
19,Residential,Unclassified,,234 STEPP BRANCH,2225.096,21159950300,POINT (5903893.545662036 3826415.6669784444)
20,Residential,Manufactured Home,,2937 LITTLE ROCKCASTLE ROAD,1285.611,21159950100,POINT (5869617.139117123 3829419.681493696)
21,Residential,Single Family Dwelling,,138 COOK DRIVE,1878.957,21159950201,POINT (5843903.1402927125 3832947.7582627465)
22,Residential,Manufactured Home,,211 JACK CASSADY BRANCH,1384.496,21159950201,POINT (5859353.802333285 3836306.6875724597)
23,Residential,Unclassified,,3701 NEW ROUTE 3,5307.285,21159950201,POINT (5839701.847235617 3832779.624379167)
24,Unclassified,Unclassified,,9462 MEATHOUSE ROAD,14834.01,21159950201,POINT (5858212.688318145 3797322.571432954)
25,Residential,Manufactured Home,,299 LONG BRANCH,1846.005,21159950300,POINT (5896664.176970647 3831986.9519200753)
27,Residential,Single Family Dwelling,,38 MUDDY BRANCH,1582.3,21159950201,POINT (5858219.020716055 3839008.8637720356)
28,Unclassified,Unclassified,,3044 ROCKHOUSE ROAD,1054.876,21159950202,POINT (5829399.0928815175 3841183.1525027896)
29,Residential,Single Family Dwelling,,663 NORTH WOLF CREEK,1846.022,21159950100,POINT (5876563.959846568 3827180.521973475)
30,Residential,Manufactured Home,,181 APPLE ORCHARD ROAD,4944.691,21159950201,POINT (5857746.9590900745 3837141.505747628)
31,Residential,Single Family Dwelling,,181 NATHAN PLACE,1450.429,21159950202,POINT (5836215.258531804 3829872.4683466065)
32,Unclassified,Unclassified,,160 VENTERS BRANCH,1384.506,21159950201,POINT (5841791.671728286 3833995.765043343)
33,Residential,Single Family Dwelling,,434 PHOEBE TRACE,2076.776,21159950100,POINT (5873590.6013588635 3839539.343200299)
34,Residential,Manufactured Home,,3179 COLDWATER ROAD,461.5061,21159950201,POINT (5858519.119661505 3837193.1419565273)
35,Residential,Single Family Dwelling,,1352 RIVER FRONT ROAD,395.5862,21159950100,POINT (5887433.2637832165 3843186.3916343353)
36,Residential,Single Family Dwelling,,942 LITTLE PETER CAVE ROAD,1582.302,21159950100,POINT (5876832.711377118 3837828.8971845936)
37,Residential,Single Family Dwelling,,43 BRUCE CARTER LANE,791.1524,21159950202,POINT (5827685.852771281 3833538.3036729437)
38,Residential,Single Family Dwelling,,3420 NEW ROUTE 3,1582.304,21159950202,POINT (5840289.198403602 3833949.1923384173)
39,Commercial,Personal and Repair Services,,33 CHARLIE CLINE ROAD,2966.814,21159950202,POINT (5840546.730474966 3838382.6130701313)
40,Residential,Single Family Dwelling,,2093 COLDWATER ROAD,2109.719,21159950201,POINT (5857817.0000255555 3842123.7876129164)
41,Residential,Unclassified,,106 MUDDY BRANCH,2307.494,21159950201,POINT (5857678.779357181 3838963.151926798)
42,Residential,Single Family Dwelling,,15 EMILY CREEK,1054.866,21159950100,POINT (5883125.712031038 3831495.322224618)
43,Residential,Single Family Dwelling,,38 MUDDY BRANCH,4779.865,21159950201,POINT (5858138.200882789 3838948.891034442)
44,Residential,Single Family Dwelling,,114 CHAPMAN BOTTOM,2373.447,21159950100,POINT (5886573.741602249 3839962.701552948)
45,Residential,Unclassified,,7259 BEAUTY ROAD,395.5726,21159950100,POINT (5877000.26128112 3842799.4545762422)
46,Residential,Unclassified,,1108 LONG BRANCH,1780.085,21159950300,POINT (5897736.559529816 3827928.2239476144)
47,Residential,Single Family Dwelling,,1214 BLACKBERRY ROAD,1813.048,21159950201,POINT (5840790.538128728 3833949.184407349)
48,Residential,Unclassified,,93 CHAPMAN BOTTOM,1977.868,21159950100,POINT (5886757.836404796 3839970.7121997974)
49,Unclassified,Unclassified,,3064 ROCKHOUSE ROAD,1780.079,21159950202,POINT (5829626.76448293 3841150.5302894763)
50,Unclassified,Unclassified,,94 NEWSOME ROAD,2966.808,21159950202,POINT (5839174.740134066 3836487.071854668)
51,Residential,Manufactured Home,,2179 DAVELLA ROAD,395.5763,21159950202,POINT (5831646.44666255 3825619.424323845)
52,Residential,Single Family Dwelling,,58 SHADLE FLETCHER LANE,2389.949,21159950201,POINT (5845932.677148662 3838517.0852812747)
53,Residential,Manufactured Home,,181 APPLE ORCHARD ROAD,725.2095,21159950201,POINT (5857604.948042137 3837129.279440816)
54,Residential,Single Family Dwelling,,5841 ROCKHOUSE ROAD,988.924,21159950202,POINT (5824815.796464938 3833404.3387587974)
55,Residential,Single Family Dwelling,,40 HENRY GOBLE ROAD,1054.868,21159950201,POINT (5856569.775033242 3850648.7657038537)
56,Unclassified,Unclassified,,2128 BLACKLOG ROAD,1054.865,21159950201,POINT (5855887.7401453825 3850632.607475034)
57,Residential,Manufactured Home,,37 SKYLINE LANE,1450.432,21159950202,POINT (5842903.741965494 3860940.8082665843)
58,Unclassified,Unclassified,,1704 RIVER FRONT ROAD,988.9276,21159950100,POINT (5888086.516914998 3841612.861065964)
59,Residential,Single Family Dwelling,,50 GREEN BOTTOM,1681.173,21159950202,POINT (5844830.351696526 3855366.8231183267)
60,Residential,Manufactured Home,,2160 BLACKLOG ROAD,2373.452,21159950201,POINT (5856000.662676386 3850609.481007644)
61,Residential,Manufactured Home,,2160 BLACKLOG ROAD,2966.813,21159950201,POINT (5856086.10995005 3850619.739800919)
62,Residential,Unclassified,,3882 HODE ROAD,3296.447,21159950100,POINT (5882002.1787996385 3862287.4737287867)
63,Residential,Single Family Dwelling,,47 EVANS FARM ROAD,791.1512,21159950100,POINT (5881617.908952514 3834290.8763259314)
64,Residential,Manufactured Home,,3096 DAVELLA ROAD,4779.856,21159950202,POINT (5827928.960332066 3823766.787913548)
65,Residential,Manufactured Home,,400 SETSER BRANCH,1582.292,21159950202,POINT (5831298.585308266 3828215.6789929406)
66,Residential,Manufactured Home,,342 FROG POND ROAD,3428.327,21159950100,POINT (5874369.716497001 3829661.529182084)
67,Residential,Single Family Dwelling,,351 JONES FORK,3296.468,21159950201,POINT (5842163.377944771 3832943.149306588)
68,Residential,Unclassified,,360 FROG POND ROAD,2307.519,21159950100,POINT (5874207.354392343 3829654.53585115)
69,Residential,Manufactured Home,,35 MAYNARD FLATS,988.9297,21159950100,POINT (5881039.974571891 3834305.5637680897)
70,Residential,Single Family Dwelling,,5134 COLDWATER ROAD,1780.089,21159950201,POINT (5853875.9312151065 3828926.443792327)
71,Residential,Unclassified,,315 EMILY CREEK,1994.343,21159950100,POINT (5883472.473043217 3829960.680536109)
72,Residential,Single Family Dwelling,,1265 WHITE OAK ROAD,2801.997,21159950300,POINT (5883625.174981284 3821988.9362075496)
73,Residential,Manufactured Home,,4416 POPLAR FORK,2241.562,21159950100,POINT (5868964.649590224 3861843.3837856823)
74,Residential,Unclassified,,78 WARFIELD ELEMENTARY LOOP,2109.721,21159950100,POINT (5884999.612985573 3856776.7349618645)
75,Unclassified,Unclassified,,24 MCCOY DRIVE,988.9266,21159950202,POINT (5839106.18540671 3839901.0777084995)
76,Unclassified,Unclassified,,1716 RIVER FRONT ROAD,1087.83,21159950100,POINT (5888136.6828709375 3841620.905359561)
77,Residential,Unclassified,,335 MARCUM HOLLOW,2505.299,21159950100,POINT (5878356.27680631 3841243.134534927)
78,Commercial,Retail Trade,,414 EAST MAIN STREET,1318.585,21159950201,POINT (5849940.083416812 3855551.1619963315)
79,Residential,Single Family Dwelling,,2345 TOMAHAWK ROAD,5406.188,21159950202,POINT (5835053.398999059 3860564.5700497925)
80,Residential,Single Family Dwelling,,1999 TOMAHAWK ROAD,1318.583,21159950202,POINT (5836058.038727965 3860655.17081679)
81,Residential,Single Family Dwelling,,4410 TOMAHAWK ROAD,1318.578,21159950202,POINT (5828798.250762759 3854834.612546843)
82,Residential,Single Family Dwelling,,2352 TOMAHAWK ROAD,1780.091,21159950202,POINT (5834928.095108522 3860606.8730152226)
83,Residential,Single Family Dwelling,,120 WEST MAIN STREET,988.9404,21159950202,POINT (5847482.672186603 3855462.2408172763)
84,Residential,Single Family Dwelling,,98 WEST MAIN STREET,1054.877,21159950202,POINT (5847545.9827024555 3855459.6594269173)
85,Residential,Manufactured Home,,4412 POPLAR FORK,4351.325,21159950100,POINT (5868977.93556392 3861758.5263053193)
86,Residential,Unclassified,,4198 TOMAHAWK ROAD,2225.092,21159950202,POINT (5829893.523016074 3854851.3161406405)
87,Residential,Manufactured Home,,907 HALLS BRANCH,791.1481,21159950202,POINT (5829230.730521762 3860398.8015221455)
88,Residential,Single Family Dwelling,,47 EVANS FARM ROAD,4351.322,21159950100,POINT (5881567.980805069 3834329.1292903554)
89,Residential,Single Family Dwelling,,259 SOUTH WOLF CREEK,1977.872,21159950300,POINT (5873995.372453161 3825464.9329016595)
90,Residential,Unclassified,,71 BLUE JAY LANE,1054.865,21159950300,POINT (5903696.120750637 3826530.5126195415)
91,Unclassified,Unclassified,,76 CUMBO ROAD,988.9335,21159950202,POINT (5839828.989136573 3835693.8225149726)
92,Unclassified,Unclassified,,128 POPLAR THICKET ROAD,3560.154,21159950201,POINT (5866887.298917713 3821447.241204963)
93,Residential,Unclassified,,63 BLUE JAY LANE,2307.52,21159950300,POINT (5903841.415272376 3826478.961517959)
94,Residential,Manufactured Home,,2893 LITTLE ROCKCASTLE ROAD,2373.432,21159950100,POINT (5869496.9191145925 3829469.2609954686)
95,Residential,Manufactured Home,,116 COOK DRIVE,3708.5,21159950201,POINT (5843763.515854748 3832995.1257752078)
96,Residential,Single Family Dwelling,,273 SOUTH WOLF CREEK,1681.19,21159950300,POINT (5873948.365415108 3825376.480648267)
98,Residential,Manufactured Home,,5 MAYNARD FLATS,1285.611,21159950100,POINT (5881124.211135887 3834281.324635303)
99,Residential,Unclassified,,89 PLEASANT VALLEY,3461.258,21159950201,POINT (5857382.8115439005 3836242.3269902463)
0,Residential,Unclassified,,2285 TOMAHAWK ROAD,3461.27,21159950202,POINT (5835088.038736669 3860868.1188264615)
1,Unclassified,Unclassified,,67 FLETCHER BRANCH,1977.852,21159950201,POINT (5846737.18350344 3842734.754764659)
2,Residential,Single Family Dwelling,,60 TIPPLE ROAD,3692.023,21159950100,POINT (5880098.264174118 3847023.2235574857)
3,Residential,Unclassified,,101 TIPPLE ROAD,1977.864,21159950100,POINT (5880361.613135246 3847024.661052807)
4,Residential,Single Family Dwelling,,142 COLLINS CREEK,2142.694,21159950100,POINT (5884316.167082862 3847160.9100632817)
5,Residential,Manufactured Home,,376 SPRUCE PINE ROAD,988.9319,21159950100,POINT (5859439.867300687 3861720.9359802715)
6,Residential,Manufactured Home,,104 HARVEY HORN ROAD,1878.979,21159950202,POINT (5855703.285003499 3861571.702947319)
7,Residential,Manufactured Home,,6006 NORTH WOLF CREEK,8867.482,21159950100,POINT (5887989.005584684 3841611.7351465425)
8,Unclassified,Unclassified,,2068 BLACKLOG ROAD,16712.99,21159950201,POINT (5855591.011299299 3850700.9586174893)
9,Residential,Manufactured Home,,166 HARVEY HORN ROAD,791.1523,21159950202,POINT (5855196.362795436 3861560.138412078)
10,Residential,Single Family Dwelling,,143 MOLLETT BRANCH,1054.857,21159950202,POINT (5829073.232975646 3845238.794333216)
11,Commercial,Retail Trade,,303 EAST MAIN STREET,6559.926,21159950202,POINT (5849371.154234548 3855554.7090990394)
12,Residential,Manufactured Home,,419 ROCKHOUSE MILLS ROAD,2241.589,21159950202,POINT (5827858.964918805 3849790.014434393)
13,Residential,Single Family Dwelling,,3752 BIG ELK ROAD,2505.285,21159950100,POINT (5870783.1139292475 3862066.259585694)
14,Unclassified,Unclassified,,11 AARON STREET,4911.672,21159950201,POINT (5855789.976392607 3850718.007206366)
15,Residential,Single Family Dwelling,,595 WICKERFIELD ROAD,494.4703,21159950201,POINT (5850207.441899862 3855623.7389710587)
16,Residential,Unclassified,,7675 TOMAHAWK ROAD,2373.435,21159950202,POINT (5815169.380518855 3849367.9669370526)
18,Residential,Single Family Dwelling,,256 CROOKED RUN ROAD,2966.801,21159950202,POINT (5844321.432186818 3861141.2253332883)
19,Residential,Unclassified,,2248 BLACKLOG ROAD,1631.747,21159950201,POINT (5856545.14982924 3850757.584861466)
21,Unclassified,Unclassified,,4198 TOMAHAWK ROAD,791.1645,21159950202,POINT (5829848.492712815 3854905.1329212147)
22,Residential,Single Family Dwelling,,80 LOWER SALTWELL ROAD,1054.868,21159950202,POINT (5845507.186118278 3850383.211664596)
23,Residential,Manufactured Home,,75 SKYLINE LANE,2373.447,21159950202,POINT (5842781.288596986 3861043.342471608)
24,Unclassified,Unclassified,,122 HICKMAN HEIGHTS,593.3612,21159950100,POINT (5878468.310358227 3846927.1131088794)
25,Residential,Single Family Dwelling,,34 GREEN BOTTOM,857.0688,21159950202,POINT (5844770.440484406 3855401.876521124)
26,Industrial,Light,,3892 TOMAHAWK ROAD,725.2217,21159950202,POINT (5831019.519535531 3854932.3607533188)
27,Residential,Single Family Dwelling,,92 ALICE BLACKBURN LANE,494.4673,21159950202,POINT (5837021.832709983 3860838.774666519)
28,Residential,Single Family Dwelling,,42 GREEN BOTTOM,791.1595,21159950202,POINT (5844799.805445468 3855393.182620429)
29,Residential,Unclassified,,2318 BLACKLOG ROAD,1186.717,21159950201,POINT (5856868.107748546 3850751.795825371)
30,Residential,Single Family Dwelling,,3869 TOMAHAWK ROAD,1846.013,21159950202,POINT (5831153.930920127 3854922.3822572245)
