PROP_ADDR,OCC_CLS,PRIM_OCC,SEC_OCC,SQFEET,CENSUSCODE,geometry
1307 EMILY CREEK,Residential,Unclassified,,2966.81,21159950100,POINT (5885375.613480703 3827724.7311524586)
1308 EAST MAIN STREET,Residential,Single Family Dwelling,,1450.435,21159950201,POINT (5852534.190049597 3852933.028145176)
131 BLEVINS LANE,Residential,Single Family Dwelling,,2900.8768999999998,21159950202,POINT (5846896.09197401 3853178.017982615)
131 CARTER BRANCH,Residential,Single Family Dwelling,,6329.175499999999,21159950201,POINT (5855023.609812002 3848960.482179937)
131 DANS BRANCH,Unclassified,Unclassified,,2010.8298999999997,21159950300,POINT (5874760.131169949 3821572.811053607)
131 HELLEN MILLS ROAD,Unclassified,Unclassified,,2472.3347,21159950202,POINT (5858231.832029758 3862963.2641995037)
131 HORN ESTATE,Residential,Single Family Dwelling,,4170.002,21159950100,POINT (5855055.712 3857538.4167229)
131 MURRAY ROAD,Residential,Manufactured Home,,3032.738,21159950201,POINT (5851036.730562578 3852464.0873090667)
131 RIVER FRONT ROAD,Residential,Manufactured Home,,1681.202,21159950100,POINT (5883978.266538534 3848294.7261606464)
1310 LITTLE BLACKLOG ROAD,Residential,Manufactured Home,,1285.613,21159950100,POINT (5860381.766178855 3852198.2713767732)
1312 TUG RIVER ROAD,Residential,Single Family Dwelling,,8241.134,21159950100,POINT (5864785.168838711 3872713.8697980023)
1312 TURKEY CREEK,Residential,Single Family Dwelling,,2307.526,21159950100,POINT (5854245.643988235 3859452.0840770886)
1313 BLACKBERRY ROAD,Residential,Manufactured Home,,857.0961,21159950201,POINT (5840856.601480812 3833575.4408435277)
13131 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1582.288,21159950300,POINT (5910143.68023014 3814545.486569097)
13139 RIVER FRONT ROAD,Residential,Single Family Dwelling,,4021.6587,21159950300,POINT (5910062.4002404865 3814511.136398681)
1314 ROCKHOUSE ROAD,Residential,Manufactured Home,,791.1324,21159950202,POINT (5830269.661545555 3849331.3852827647)
1315 SOUTH MILO ROAD,Residential,Single Family Dwelling,,4219.4565999999995,21159950202,POINT (5835297.207890656 3865996.970373098)
13161 RIVER FRONT ROAD,Residential,Unclassified,,4615.042,21159950300,POINT (5909988.074518208 3814397.3911704137)
13168 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2653.6499999999996,21159950300,POINT (5909557.078331482 3815069.142654146)
1319 ROCKCASTLE ROAD,Residential,Manufactured Home,,1714.142,21159950202,POINT (5843602.548469738 3859720.250463219)
13190 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1384.521,21159950300,POINT (5909651.411022905 3814674.2280704756)
132 FITCH BRANCH,Residential,Single Family Dwelling,,2604.194,21159950202,POINT (5841973.724409536 3865898.2687682016)
132 JOHNSON BOTTOM,Residential,Single Family Dwelling,,1433.965,21159950202,POINT (5844372.92790507 3874577.015262892)
132 KED FLETCHER ROAD,Residential,Manufactured Home,,2093.239,21159950100,POINT (5874989.635806129 3828724.0072720097)
132 LITTLE ELK HODE ROAD,Unclassified,Unclassified,,1780.072,21159950100,POINT (5880199.530143288 3862370.7850320605)
132 RALPH MOORE LANE,Residential,Manufactured Home,,791.1403,21159950201,POINT (5868111.416850269 3831040.1823469508)
13212 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2571.2295,21159950300,POINT (5909629.752950019 3814546.049967937)
1322 CALF CREEK,Unclassified,Unclassified,,1450.439,21159950202,POINT (5856462.82961684 3871817.932598831)
1322 CAMP BRANCH,Unclassified,Unclassified,,791.1497,21159950201,POINT (5849749.202123443 3842652.155232143)
1322 EAST MAIN STREET,Residential,Manufactured Home,,2142.673,21159950201,POINT (5852608.094878228 3852826.772831192)
1323 PETER CAVE BRANCH,Residential,Manufactured Home,,593.363,21159950202,POINT (5853506.099842422 3876248.2039952073)
13245 RIVER FRONT ROAD,Residential,Unclassified,,1054.863,21159950300,POINT (5909785.877104731 3814136.929141717)
1327 EMILY CREEK,Residential,Unclassified,,1483.389,21159950100,POINT (5885449.735413037 3827773.1078977743)
13287 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1714.154,21159950300,POINT (5909656.027143386 3813980.681392014)
1329 WHITE OAK ROAD,Residential,Manufactured Home,,5340.2354,21159950300,POINT (5883845.047880065 3821562.521717213)
133 BLACKBERRY ROAD,Residential,Single Family Dwelling,,1483.403,21159950201,POINT (5841565.841237088 3839141.3610287993)
133 GRASSY SCHOOL ROAD,Residential,Single Family Dwelling,,527.4301,21159950202,POINT (5846154.892393736 3879675.1045835256)
133 HANEY PLACE,Residential,Single Family Dwelling,,3230.5098,21159950201,POINT (5847902.87535817 3851572.4872294106)
133 IVORY LANE,Residential,Manufactured Home,,1878.967,21159950100,POINT (5877126.980705031 3848012.1100989613)
133 MOORE BRANCH,Residential,Single Family Dwelling,,2472.326,21159950201,POINT (5856354.686245153 3844533.143363446)
1330 CAMP BRANCH,Unclassified,Unclassified,,1384.487,21159950201,POINT (5849893.895129792 3842472.22333963)
13303 RIVER FRONT ROAD,Residential,Single Family Dwelling,,5191.9,21159950300,POINT (5909810.3215073235 3813847.6591212596)
1331 EAST MAIN STREET,Residential,Single Family Dwelling,,4466.7175,21159950100,POINT (5852783.222357743 3853078.7312073344)
1331 ROCKCASTLE ROAD,Residential,Manufactured Home,,1582.294,21159950202,POINT (5843521.278268018 3859841.7413611626)
1332 COLDWATER ROAD,Residential,Single Family Dwelling,,4779.843,21159950201,POINT (5856246.270464701 3844803.8556864853)
13325 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1087.83,21159950300,POINT (5909679.672451407 3813837.8675908945)
13331 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2769.0380999999998,21159950300,POINT (5909763.981726136 3813712.484162144)
13333 RIVER FRONT ROAD,Residential,Unclassified,,3263.477,21159950300,POINT (5909582.710892143 3813776.6429730854)
13342 RIVER FRONT ROAD,Residential,Single Family Dwelling,,4153.529,21159950300,POINT (5909278.947490425 3813697.111725735)
1335 BLACKBERRY ROAD,Unclassified,Unclassified,,923.0038,21159950201,POINT (5840849.703449614 3833488.8751901016)
1335 CALF CREEK,Unclassified,Unclassified,,988.9338,21159950202,POINT (5855495.644942818 3871608.667192597)
1336 PIGEON ROOST ROAD,Unclassified,Unclassified,,1846.007,21159950300,POINT (5874872.119054289 3820381.7278665663)
1336 RIVER FRONT ROAD,Commercial,Retail Trade,,857.0746,21159950100,POINT (5887381.9356289925 3843216.2555292756)
1336 TURKEY CREEK,Residential,Manufactured Home,,1977.879,21159950100,POINT (5854609.258162506 3859549.0113526667)
13369 RIVER FRONT ROAD,Residential,Unclassified,,2472.3442,21159950300,POINT (5909498.577369834 3813550.625168923)
134 LITTLE BLACKLOG ROAD,Unclassified,Unclassified,,1186.72,21159950100,POINT (5854999.467557462 3851809.3137670993)
134 MOORE BRANCH,Residential,Single Family Dwelling,,2867.8955,21159950201,POINT (5855151.7963119475 3844698.582315473)
134 TUNNEL ROAD,Residential,Unclassified,,1631.739,21159950100,POINT (5884979.505871931 3839848.051285524)
134 WALNUT DRIVE,Residential,Unclassified,,1384.498,21159950100,POINT (5886751.982417815 3843965.7952116104)
1342 CALLOWAY ROAD,Unclassified,Unclassified,,6329.1990000000005,21159950202,POINT (5832529.000112193 3863947.624638116)
1342 COLLINS CREEK,Unclassified,Unclassified,,3906.298,21159950100,POINT (5879564.080922742 3843518.407773464)
1342 EAST MAIN STREET,Residential,Single Family Dwelling,,2109.73,21159950201,POINT (5852699.588351451 3852893.322761884)
1342 LONG BRANCH,Residential,Single Family Dwelling,,3362.3783000000003,21159950300,POINT (5898262.304426442 3826829.2967765075)
1342 ROCKHOUSE ROAD,Residential,Single Family Dwelling,,2142.693,21159950202,POINT (5830168.262932563 3849296.369605777)
13459 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1648.23,21159950300,POINT (5909271.58513518 3813167.360149088)
13483 RIVER FRONT ROAD,Residential,Unclassified,,1186.713,21159950300,POINT (5909171.373101252 3813052.1467667846)
1349 EAST MAIN STREET,Residential,Unclassified,,3428.3133,21159950100,POINT (5852832.857249727 3853131.5000195755)
135 FITZPATRICK HOLLOW,Unclassified,Unclassified,,1977.877,21159950202,POINT (5834996.561755652 3859511.1347569977)
135 LICK BRANCH,Residential,Single Family Dwelling,,1153.775,21159950300,POINT (5878974.40584679 3805869.705711625)
135 MARCUM HOLLOW,Residential,Unclassified,,890.0412,21159950100,POINT (5877634.951563093 3842104.224722522)
135 MULLETT BRANCH,Residential,Single Family Dwelling,,2900.873,21159950201,POINT (5854045.392387494 3831208.519336073)
135 WARD TRAILER PARK ROAD,Residential,Unclassified,,1054.863,21159950100,POINT (5881353.26612546 3863210.602723737)
13500 RIVER FRONT ROAD,Residential,Unclassified,,2472.317,21159950300,POINT (5908980.886288532 3812962.9982624217)
1352 RIVER FRONT ROAD,Residential,Single Family Dwelling,,395.5862,21159950100,POINT (5887433.2637832165 3843186.3916343353)
1354 ROCKHOUSE ROAD,Residential,Manufactured Home,,3296.435,21159950202,POINT (5830153.420828984 3849152.083023043)
1357 EAST MAIN STREET,Unclassified,Unclassified,,6922.542,21159950100,POINT (5853026.332036597 3853269.2116900575)
1358 EAST MAIN STREET,Residential,Manufactured Home,,1318.593,21159950201,POINT (5852748.130697921 3852841.6122514387)
136 BLACKBERRY ROAD,Residential,Manufactured Home,,3494.2189,21159950201,POINT (5841312.568279948 3839132.213954348)
136 FIREHOUSE LANE,Commercial,Retail Trade,,8307.04,21159950100,POINT (5882694.768768455 3848206.4185545524)
136 GORDON HOLLOW,Residential,Single Family Dwelling,,2834.9456,21159950100,POINT (5878956.698103126 3846005.1397732575)
136 HOLTY ROAD,Residential,Unclassified,,1977.8829,21159950100,POINT (5884000.787995811 3831032.6638040994)
136 JAKES PLACE,Residential,Manufactured Home,,988.9323,21159950100,POINT (5867480.905890876 3861332.96677868)
136 MILLS BRANCH,Residential,Single Family Dwelling,,3131.629,21159950202,POINT (5860894.399534843 3872248.129486332)
136 ROCKCASTLE ROAD,Government,General Services,,7993.893,21159950202,POINT (5846967.648771134 3856229.4762221836)
136 ROCKY BRANCH,Residential,Single Family Dwelling,,988.9438,21159950201,POINT (5872253.974270409 3825632.5803755475)
136 WARD TRAILER PARK ROAD,Residential,Unclassified,,923.0071,21159950100,POINT (5881282.8718519015 3863087.7431313223)
1365 LITTLE LAUREL CREEK,Residential,Single Family Dwelling,,1582.309,21159950202,POINT (5839562.653279048 3883012.713705525)
1369 DAVELLA ROAD,Residential,Manufactured Home,,3296.4296999999997,21159950202,POINT (5834950.968696653 3826325.48132955)
137 BABE DELONG ROAD,Residential,Unclassified,,6197.293,21159950202,POINT (5838595.692247002 3832866.573951986)
137 BEATRICE LOOP,Residential,Single Family Dwelling,,1977.871,21159950202,POINT (5843688.9125465825 3858244.752247336)
137 CREEKWOOD ESTATES,Residential,Single Family Dwelling,,3082.189,21159950201,POINT (5858668.170473285 3840345.474233943)
137 EMILY CREEK,Unclassified,Unclassified,,1318.586,21159950100,POINT (5883469.450521387 3830845.8276270726)
137 HAND MAUL HOLLOW,Residential,Single Family Dwelling,,1384.512,21159950202,POINT (5819991.073011665 3852119.4494292676)
137 HARMON LANE,Residential,Manufactured Home,,2208.612,21159950300,POINT (5888282.742347511 3827228.202192102)
137 NATHAN PLACE,Unclassified,Unclassified,,1911.9327,21159950202,POINT (5835468.608296029 3830272.7220343915)
137 ROCKY BRANCH,Residential,Single Family Dwelling,,1878.988,21159950201,POINT (5872192.582033404 3825637.927159818)
137 VINEYARD VALLEY,Residential,Unclassified,,1681.183,21159950202,POINT (5847171.786085311 3875073.6473348313)
1372 ROCKHOUSE ROAD,Residential,Manufactured Home,,1054.873,21159950202,POINT (5830100.009030528 3849068.27555793)
1374 EAST MAIN STREET,Residential,Single Family Dwelling,,1582.319,21159950201,POINT (5852778.280736629 3852775.5582690034)
1375 COLDWATER ROAD,Residential,Manufactured Home,,3560.1695,21159950201,POINT (5856663.096735185 3845081.2659862395)
1376 CALLOWAY ROAD,Unclassified,Unclassified,,4417.2495,21159950202,POINT (5832751.031791531 3863946.7966613285)
138 COOK DRIVE,Residential,Single Family Dwelling,,1878.957,21159950201,POINT (5843903.1402927125 3832947.7582627465)
138 EVERETT ROAD,Residential,Unclassified,,3164.594,21159950100,POINT (5877730.015307833 3842193.124889351)
138 GAYLE CARTER ROAD,Residential,Single Family Dwelling,,2109.7243,21159950202,POINT (5836316.6234281985 3872225.879806172)
138 HODE ROAD,Residential,Single Family Dwelling,,4285.392,21159950100,POINT (5882607.617816353 3848524.156798171)
138 JOHNNY MOLLETT ROAD,Residential,Single Family Dwelling,,2307.515,21159950202,POINT (5828746.998676938 3848139.2209513853)
138 MARY ELLEN LANE,Residential,Manufactured Home,,5933.623,21159950300,POINT (5881805.274191242 3824538.2525304602)
138 NEWBERRY LANE,Residential,Single Family Dwelling,,2637.149,21159950202,POINT (5847280.096037714 3854989.3400504654)
138 ROCKHOUSE MILLS ROAD,Residential,Single Family Dwelling,,2966.816,21159950202,POINT (5829797.552057025 3850308.446299151)
138 SANSOM DRIVE,Residential,Unclassified,,3823.8629,21159950202,POINT (5849433.282488536 3872238.6330646556)
138 TURKEY CREEK,Residential,Single Family Dwelling,,2274.542,21159950100,POINT (5851473.598100474 3855715.2106080763)
138 VINEYARD VALLEY,Residential,Manufactured Home,,1977.85,21159950202,POINT (5847021.348184715 3875148.571361043)
1386 LITTLE BLACKLOG ROAD,Residential,Manufactured Home,,1186.724,21159950100,POINT (5860500.097439684 3852183.3223606744)
139 BOWEN LANE,Residential,Manufactured Home,,5257.8601,21159950202,POINT (5844897.677975994 3873755.917127281)
139 CHARLIE BROWN ROAD,Residential,Single Family Dwelling,,923.0106,21159950100,POINT (5869088.920306227 3863737.1000622544)
139 DANS BRANCH,Residential,Unclassified,,1582.287,21159950300,POINT (5874634.006137391 3821880.2844867967)
139 DAVIS ROAD,Residential,Single Family Dwelling,,1186.733,21159950202,POINT (5819782.090183235 3849980.773087459)
139 HALLS BRANCH,Residential,Single Family Dwelling,,3675.547,21159950202,POINT (5832618.393364959 3858668.2096664654)
139 JAY HINKLE DRIVE,Residential,Single Family Dwelling,,1565.83,21159950100,POINT (5873725.524639175 3846828.00315653)
139 LUTHER SMITH LANE,Residential,Single Family Dwelling,,1714.153,21159950202,POINT (5835446.481958114 3829072.9201488127)
139 PINE VIEW,Residential,Single Family Dwelling,,5818.227,21159950201,POINT (5858129.26932017 3836664.026676265)
139 PRESTON BRANCH,Unclassified,Unclassified,,2769.018,21159950202,POINT (5842794.701932895 3855095.223471833)
1390 EAST MAIN STREET,Residential,Single Family Dwelling,,2373.451,21159950201,POINT (5852790.24689755 3852711.7376185968)
1390 ROCKHOUSE ROAD,Residential,Manufactured Home,,3230.5202,21159950202,POINT (5829982.6668132525 3849000.422061698)
1398 COLDWATER ROAD,Residential,Single Family Dwelling,,3626.1,21159950201,POINT (5856504.281478018 3844872.7419119934)
1399 LITTLE LAUREL CREEK,Residential,Single Family Dwelling,,1977.871,21159950202,POINT (5839448.015279382 3882885.704982218)
14 BILL STEPP BRANCH,Residential,Single Family Dwelling,,4153.522,21159950201,POINT (5851479.517518784 3852665.77028942)
14 BRUCE STREET,Residential,Unclassified,,1813.043,21159950100,POINT (5886651.1175624905 3840491.554518534)
14 COURT STREET,Government,General Services,,7120.331,21159950201,POINT (5847841.651253981 3854789.39661931)
14 ED MOORE LANE,Residential,Unclassified,,2521.78,21159950201,POINT (5846927.249310711 3837235.149181618)
14 FLAT HOLLOW,Unclassified,Unclassified,,10268.443,21159950202,POINT (5852738.36197417 3857973.5097126467)
14 GORDON MAYNARD ROAD,Residential,Manufactured Home,,2637.163,21159950202,POINT (5845215.15900821 3874254.9610124724)
14 HOLDEN SPUR,Residential,Single Family Dwelling,,1120.79,21159950201,POINT (5840068.878041315 3828092.642768405)
14 PINE TREE LANE,Residential,Single Family Dwelling,,3659.057,21159950201,POINT (5858322.685007593 3837165.4925816627)
14 RAINWATER DRIVE,Residential,Single Family Dwelling,,758.1917,21159950202,POINT (5850339.915727646 3877929.23271879)
14 SHORT STREET,Residential,Manufactured Home,,1054.879,21159950100,POINT (5876326.20173084 3867231.185731714)
140 HARMON LANE,Residential,Manufactured Home,,4746.9011,21159950300,POINT (5888146.990872394 3827238.9306518165)
140 MILO SUBDIVISION ROAD,Residential,Manufactured Home,,2109.723,21159950202,POINT (5836168.821967672 3871545.2217580792)
140 MOORES TRAILER PARK,Residential,Manufactured Home,,988.9371,21159950100,POINT (5890474.35136557 3836009.573845396)
140 ROCKCASTLE ROAD,Residential,Unclassified,,2109.719,21159950202,POINT (5847009.324414787 3856407.7446728516)
1401 NORTH WOLF CREEK,Unclassified,Unclassified,,1977.866,21159950100,POINT (5879657.092270433 3828220.320480309)
1404 SOUTH MILO ROAD,Residential,Single Family Dwelling,,2175.6559,21159950202,POINT (5835368.242452481 3866468.1698954087)
1405 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2637.137,21159950100,POINT (5887847.793041106 3843220.624896483)
1406 TUG RIVER ROAD,Residential,Single Family Dwelling,,5010.583,21159950100,POINT (5864443.351775989 3872953.0800318434)
1408 TOMAHAWK ROAD,Residential,Manufactured Home,,527.4242,21159950202,POINT (5837325.94194561 3858283.3097513244)
141 APPLE ORCHARD ROAD,Unclassified,Unclassified,,1318.592,21159950201,POINT (5857904.430092492 3837522.102735936)
141 FLETCHER FORK,Residential,Single Family Dwelling,,1384.51,21159950202,POINT (5833947.838519388 3861537.393296558)
141 JOHNNY MOLLETT ROAD,Residential,Manufactured Home,,1483.394,21159950202,POINT (5828646.754551984 3848051.817545187)
141 MIDDLE FORK DAVIS BRANCH,Residential,Unclassified,,1054.871,21159950202,POINT (5841115.033862864 3840373.4262138787)
141 SHORT STREET,Residential,Manufactured Home,,3626.09,21159950100,POINT (5876917.4868570175 3867432.2623557635)
141 WEST EDEN LANE,Residential,Single Family Dwelling,,1483.399,21159950202,POINT (5842621.020163926 3859378.992835146)
1411 LITTLE PETER CAVE ROAD,Unclassified,Unclassified,,593.3584,21159950100,POINT (5874714.332003896 3838791.4586959947)
1412 LONG BRANCH,Residential,Single Family Dwelling,,923.0074,21159950300,POINT (5898090.463643141 3825402.884030016)
1412 SOUTH WOLF CREEK,Unclassified,Unclassified,,791.1511,21159950201,POINT (5869144.409497837 3822910.210215271)
1412 TRACE FORK,Residential,Single Family Dwelling,,2472.3278999999998,21159950202,POINT (5822844.539073224 3839219.7236051783)
1414 RIVER FRONT ROAD,Commercial,Retail Trade,,890.0516,21159950100,POINT (5887615.866709993 3843054.9759997)
1416 PIGEON ROOST ROAD,Residential,Unclassified,,4779.8724,21159950300,POINT (5875250.018484052 3820106.414932529)
1416 TOMAHAWK ROAD,Residential,Manufactured Home,,2109.714,21159950202,POINT (5837258.5718265185 3858489.6397738275)
142 BOONE BRANCH,Residential,Unclassified,,1582.293,21159950201,POINT (5848166.002216469 3849446.5246116086)
142 COLLINS CREEK,Residential,Single Family Dwelling,,2142.694,21159950100,POINT (5884316.167082862 3847160.9100632817)
142 DANS BRANCH,Residential,Single Family Dwelling,,3263.4797,21159950300,POINT (5874672.97488286 3822004.10452124)
142 GROUNDHOG HOLLOW,Residential,Single Family Dwelling,,2109.731,21159950100,POINT (5882555.9739080435 3846841.334823371)
142 LITTLE ROCKCASTLE ROAD,Residential,Manufactured Home,,1780.093,21159950201,POINT (5867733.034659341 3842029.5275141504)
142 MCKINNEY ROAD,Residential,Manufactured Home,,2439.383,21159950202,POINT (5845534.252963527 3870115.5802931935)
142 MUDDY BRANCH,Unclassified,Unclassified,,1582.284,21159950201,POINT (5857633.528663619 3838445.9865585454)
142 ROCKY BRANCH,Residential,Single Family Dwelling,,2505.285,21159950201,POINT (5872328.692807451 3825656.6603675038)
142 SPRING LANE,Unclassified,Unclassified,,6807.140600000001,21159950300,POINT (5911435.317886247 3816706.612411714)
1422 EAST MAIN STREET,Commercial,Retail Trade,,13976.96,21159950201,POINT (5852736.640743158 3852531.959153751)
1423 RIVER FRONT ROAD,Commercial,Retail Trade,,6131.384,21159950100,POINT (5887937.694281974 3843188.408988817)
1425 WHITE OAK ROAD,Unclassified,Unclassified,,791.1412,21159950300,POINT (5883987.766302496 3821326.464384215)
1428 SALTWELL ROAD,Residential,Single Family Dwelling,,3510.702,21159950202,POINT (5839811.784896813 3846851.478516485)
1428 SOUTH WOLF CREEK,Residential,Unclassified,,1648.209,21159950201,POINT (5869054.11667142 3822721.1400801525)
143 FIREHOUSE LANE,Unclassified,Unclassified,,2274.542,21159950100,POINT (5882464.191162971 3848181.905322735)
143 JAKES PLACE,Residential,Manufactured Home,,2373.449,21159950100,POINT (5867304.86452128 3861164.728833829)
143 LONG BRANCH,Residential,Manufactured Home,,1186.717,21159950300,POINT (5896133.784462258 3832589.3408335247)
143 MARCUM HOLLOW,Residential,Unclassified,,1384.506,21159950100,POINT (5877749.01812006 3842088.7806970193)
143 MOLLETT BRANCH,Residential,Single Family Dwelling,,4285.3688999999995,21159950202,POINT (5829073.232975646 3845238.794333216)
143 NEWBERRY LANE,Residential,Manufactured Home,,2373.432,21159950202,POINT (5847189.669965866 3855051.017290783)
143 SANSOM DRIVE,Residential,Single Family Dwelling,,5274.313,21159950202,POINT (5849240.406148158 3871964.1881503672)
143 TOMAHAWK ESTATE,Residential,Unclassified,,1977.87,21159950202,POINT (5833480.45813115 3858062.664137225)
143 WARD TRAILER PARK ROAD,Residential,Unclassified,,923.0048,21159950100,POINT (5881386.31702765 3863187.7114613396)
1430 LONG BRANCH,Residential,Single Family Dwelling,,1648.208,21159950300,POINT (5898217.664848608 3826452.8353383304)
1431 WHITE OAK ROAD,Residential,Manufactured Home,,2373.446,21159950300,POINT (5884094.387395379 3821215.0644122767)
1432 RIVER FRONT ROAD,Commercial,Retail Trade,,7614.781,21159950100,POINT (5887730.524133814 3842964.7974828337)
1433 CALLOWAY ROAD,Unclassified,Unclassified,,593.3575,21159950202,POINT (5832240.266891937 3864507.2382716243)
1433 RIVER FRONT ROAD,Commercial,Retail Trade,,7384.057,21159950100,POINT (5888071.1804776285 3843264.293821754)
1438 PIGEON ROOST ROAD,Residential,Unclassified,,2307.5191,21159950300,POINT (5875355.0382161215 3820073.801944177)
144 BIG BRANCH,Residential,Manufactured Home,,5076.531,21159950100,POINT (5880180.613439851 3833809.757216681)
144 CREEKWOOD ESTATES,Residential,Single Family Dwelling,,4384.2635,21159950201,POINT (5858490.896779037 3840365.5851440923)
144 CUMBO ROAD,Unclassified,Unclassified,,2900.879,21159950202,POINT (5839143.551526508 3835582.759423557)
144 DRY FORK,Residential,Single Family Dwelling,,3955.728,21159950202,POINT (5859383.826141526 3869627.29394601)
144 ROCKCASTLE ROAD,Residential,Unclassified,,2769.019,21159950202,POINT (5846957.44404479 3856467.7303160364)
144 TUNNEL ROAD,Residential,Unclassified,,2999.763,21159950100,POINT (5884805.192589416 3839975.1756843715)
1441 RIVER FRONT ROAD,Commercial,Personal and Repair Services,,4944.688,21159950100,POINT (5887914.676736442 3842988.6689998438)
1442 RIVER FRONT ROAD,Commercial,Retail Trade,,3560.171,21159950100,POINT (5887822.912797453 3842879.2040307936)
1449 EMILY CREEK,Residential,Manufactured Home,,4582.063,21159950100,POINT (5886131.562069275 3828102.0759234624)
1449 RIVER FRONT ROAD,Commercial,Personal and Repair Services,,9839.9029,21159950100,POINT (5888396.222316097 3843118.12126717)
1449 SALTWELL ROAD,Residential,Single Family Dwelling,,2439.3725,21159950202,POINT (5838723.924036632 3847162.937733297)
145 CRUM BRANCH,Residential,Single Family Dwelling,,2274.56,21159950201,POINT (5844969.79364708 3840363.4075000226)
145 HUNTERS ROAD,Residential,Manufactured Home,,4351.3261999999995,21159950202,POINT (5829232.440726946 3845942.3615442384)
145 WHITE OAK ROAD,Residential,Single Family Dwelling,,6032.509,21159950300,POINT (5884443.047447749 3826101.872229367)
145 WILLIAMSON DRIVE,Residential,Unclassified,,3955.725,21159950202,POINT (5845890.056740754 3872279.079032014)
1452 COLDWATER ROAD,Residential,Single Family Dwelling,,5735.807000000001,21159950201,POINT (5856505.9899835745 3844644.9628356225)
1453 COLDWATER ROAD,Residential,Single Family Dwelling,,3461.258,21159950201,POINT (5857057.096348802 3844935.2233100883)
1453 EAST MAIN STREET,Residential,Single Family Dwelling,,5010.596,21159950100,POINT (5853039.398514543 3852435.345097752)
1454 WHITE OAK ROAD,Residential,Manufactured Home,,2109.742,21159950300,POINT (5884074.932765301 3821059.674740018)
1456 EAST MAIN STREET,Commercial,Retail Trade,,6164.335,21159950201,POINT (5852634.258742907 3852424.564863139)
1459 PIGEON ROOST ROAD,Residential,Single Family Dwelling,,3873.352,21159950300,POINT (5875497.055664157 3820137.5181143633)
146 COLLIER ROAD,Residential,Manufactured Home,,1087.823,21159950202,POINT (5837421.152066999 3830192.2111287885)
146 EVERETT ROAD,Unclassified,Unclassified,,791.1339,21159950100,POINT (5877758.037371558 3842329.8387733707)
146 HILLCREST DRIVE,Residential,Single Family Dwelling,,1285.609,21159950202,POINT (5834461.542911276 3827520.522536313)
146 PRESTON LANE,Residential,Single Family Dwelling,,2076.7646,21159950202,POINT (5847229.008026318 3883664.6532277674)
146 STEPP BOTTOM,Residential,Single Family Dwelling,,2768.994,21159950201,POINT (5853431.0523954835 3848946.738614116)
1462 COLDWATER ROAD,Residential,Single Family Dwelling,,3955.734,21159950201,POINT (5856693.20622635 3844671.4822103684)
1462 PIGEON ROOST ROAD,Residential,Unclassified,,3230.516,21159950300,POINT (5875466.500164698 3819996.207032295)
1464 RIVER FRONT ROAD,Residential,Single Family Dwelling,,1846.004,21159950100,POINT (5887898.574355195 3842840.9492889773)
1466 WHITE OAK ROAD,Residential,Manufactured Home,,1714.159,21159950300,POINT (5884137.44852479 3820991.072070456)
147 BOONE BRANCH,Residential,Single Family Dwelling,,1928.437,21159950201,POINT (5848194.560932157 3849713.868532502)
147 CRUM BRANCH,Residential,Single Family Dwelling,,5076.536,21159950201,POINT (5844943.933288967 3840277.587000882)
147 DAVIS BRANCH,Residential,Single Family Dwelling,,1714.153,21159950100,POINT (5882136.1601684885 3837330.147082834)
147 HAPPY HOLLOW,Residential,Manufactured Home,,1483.407,21159950100,POINT (5861851.750218657 3846434.3154329546)
147 INDUSTRIAL ROAD,Commercial,Retail Trade,,10153.02,21159950201,POINT (5820087.829567685 3818140.7778079873)
147 MOUNTAIN ENTERPRISE DRIVE,Residential,Single Family Dwelling,,3560.1656000000003,21159950201,POINT (5846111.829170326 3843336.6693313876)
147 SPENCE BRANCH,Residential,Single Family Dwelling,,2373.428,21159950202,POINT (5835108.060988033 3873190.313874688)
147 STEPP BOTTOM,Residential,Manufactured Home,,2142.691,21159950201,POINT (5853590.258385113 3849043.035977035)
147 TONEY HOWELL LANE,Residential,Manufactured Home,,2076.756,21159950202,POINT (5839044.355460233 3867674.014709548)
1471 SOUTH WOLF CREEK,Residential,Manufactured Home,,2076.77,21159950201,POINT (5869156.386036869 3822246.0687471093)
1476 RIVER FRONT ROAD,Residential,Single Family Dwelling,,2175.656,21159950100,POINT (5887947.074196681 3842787.825938855)
148 EAST MAIN STREET,Commercial,Retail Trade,,2521.804,21159950201,POINT (5848662.765575518 3855057.841013851)
148 HOWELL ROAD,Residential,Manufactured Home,,2109.719,21159950100,POINT (5881124.652400884 3844848.0160240694)
148 MCKINNEY ROAD,Residential,Manufactured Home,,988.9346,21159950202,POINT (5845486.039521314 3870311.6154568177)
148 TRACE FORK,Residential,Single Family Dwelling,,3098.6573,21159950202,POINT (5828366.514763626 3842153.0379337473)
1488 EAST MAIN STREET,Commercial,Entertainment and Recreation,,3955.739,21159950201,POINT (5852891.996081887 3852217.407028178)
